Source Text,Translated Text
ERPNext,Nexelya
ERPNext Settings,Nexelya Settings
ERPNext Integrations,Nexelya Integrations
ERPNext Cloud,Nexelya Cloud
Frappe,Nexelya
Frappe CRM,Nexelya CRM
Frappe Framework,Nexelya Platform
Frappe Cloud,Nexelya Cloud
Frappe Bench,Nexelya CLI
Bench,Nexelya CLI
Frappe API,Nexelya API
Frappe Desk,Nexelya Dashboard
Frappe Chat,Nexelya Chat
Frappe Integrations,Nexelya Integrations
Frappe App,Nexelya App
Frappe Site,Nexelya Site
Frappe Support,Nexelya Support
Frappe Help,Nexelya Help
Frappe Developer,Nexelya Developer
Frappe Developer API,Nexelya Developer API
Frappe HR,Nexelya Workforce
Let's begin your journey with ERPNext,Build smarter. Manage better. Grow faster.
Powered by ERPNext,
Powered by Frappe,
Built on Frappe,
Built with Frappe,
Login to Frappe,Login to Nexelya
Login to ERPNext,Login to Nexelya
Welcome to ERPNext,Welcome to Nexelya
Welcome to Frappe,Welcome to Nexelya
Projects,Job Sites
Project,Job Site
Buying,Procurement
Selling,Estimating & Billing
Stock,Materials & Inventory
Warehouse,Yard
Warehouses,Yards
Manufacturing,Prefab & Modular
Assets,Equipment & Fleet
Asset,Equipment
Maintenance,Equipment Maintenance
Support,Client Support
CRM,CRM
Customer,Client
Customers,Clients
Supplier,Vendor
Suppliers,Vendors
Sales Order,Contract
Sales Orders,Contracts
Quotation,Estimate
Quotations,Estimates
Sales Invoice,Invoice
Sales Invoices,Invoices
Delivery Note,Delivery Ticket
Delivery Notes,Delivery Tickets
Item,Material
Items,Materials
Timesheet,Time Card
Timesheets,Time Cards
Employee,Crew Member
Employees,Crew
